id,bookmark_id,created_at,user_id,fundraising_id
1,16,2024-06-06 20:43:56.908,61,6
2,17,2024-06-06 20:43:56.908,62,7
3,18,2024-06-06 20:43:56.908,63,10
4,19,2024-06-06 20:43:56.908,64,12
5,20,2024-06-06 20:43:56.908,65,11
6,21,2024-06-07 18:16:42.151,81,1
7,22,2024-06-07 18:16:42.151,72,2
8,23,2024-06-07 18:16:42.151,53,3
9,24,2024-06-07 18:16:42.151,54,9
10,25,2024-06-07 18:16:42.151,55,8
11,26,2024-06-07 18:16:42.151,76,13
12,27,2024-06-07 18:16:42.151,59,15
13,28,2024-06-07 18:16:42.151,60,14
14,29,2024-06-07 18:16:42.151,67,20
15,30,2024-06-07 18:16:42.151,68,23
16,31,2024-06-07 18:16:42.151,71,22
17,32,2024-06-07 18:16:42.151,56,21
18,33,2024-06-07 18:16:42.151,80,18
19,34,2024-06-07 18:16:42.151,70,19
20,35,2024-06-07 18:16:42.151,66,28
21,36,2024-06-07 18:16:42.151,55,30
22,37,2024-06-07 18:16:42.151,63,29
23,38,2024-06-07 18:16:42.151,52,26
24,39,2024-06-07 18:16:42.151,74,27
25,40,2024-06-07 18:16:42.151,73,16
